GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
main-module,fr.imt.coffee.machine,EspressoCoffeeMachine,19,112,6,12,4,22,6,5,0,2
main-module,fr.imt.coffee.machine,CoffeeMachine,95,155,9,9,25,40,10,20,5,16
main-module,fr.imt.coffee,MainEspresso,103,0,0,0,32,0,3,0,3,0
main-module,fr.imt.coffee,MainCoffee,109,0,0,0,34,0,3,0,3,0
main-module,fr.imt.coffee.machine.component,BeanTank,4,19,0,0,2,7,1,3,1,3
main-module,fr.imt.coffee.machine.component,WaterPump,3,37,0,0,1,11,1,3,1,3
main-module,fr.imt.coffee.machine.component,WaterTank,0,6,0,0,0,2,0,1,0,1
main-module,fr.imt.coffee.machine.component,Tank,6,29,0,0,2,10,2,4,2,4
main-module,fr.imt.coffee.machine.component,SteamPipe,0,17,0,0,0,8,0,4,0,4
main-module,fr.imt.coffee.machine.component,ElectricalResistance,3,38,0,0,1,10,1,3,1,3
main-module,fr.imt.coffee.machine.component,CoffeeGrinder,0,32,0,0,0,10,0,3,0,3
main-module,fr.imt.coffee.machine.exception,CannotMakeCremaWithSimpleCoffeeMachine,4,0,0,0,2,0,1,0,1,0
main-module,fr.imt.coffee.machine.exception,CoffeeTypeCupDifferentOfCoffeeTypeTankException,0,4,0,0,0,2,0,1,0,1
main-module,fr.imt.coffee.machine.exception,MachineNotPluggedException,0,4,0,0,0,2,0,1,0,1
main-module,fr.imt.coffee.machine.exception,LackOfWaterInTankException,0,4,0,0,0,2,0,1,0,1
