GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
storage,fr.imt.coffee.storage.cupboard.coffee.type,CoffeeType,33,0,0,0,6,0,1,0,1,0
storage,fr.imt.coffee.storage.cupboard,FabricCupboardContainer,0,31,0,4,0,7,0,5,0,3
storage,fr.imt.coffee.storage.cupboard.exception,CupNotEmptyException,4,0,0,0,2,0,1,0,1,0
storage,fr.imt.coffee.storage.cupboard.exception,ExceptionContainerCreation,0,4,0,0,0,2,0,1,0,1
storage,fr.imt.coffee.storage.cupboard.container,CoffeeMug,10,0,0,0,4,0,2,0,2,0
storage,fr.imt.coffee.storage.cupboard.container,CoffeeCup,10,0,0,0,4,0,2,0,2,0
storage,fr.imt.coffee.storage.cupboard.container,CoffeeContainer,28,0,0,0,9,0,4,0,4,0
storage,fr.imt.coffee.storage.cupboard.container,Container,27,12,0,0,10,5,5,2,5,2
storage,fr.imt.coffee.storage.cupboard.container,Cup,4,4,0,0,2,2,1,1,1,1
storage,fr.imt.coffee.storage.cupboard.container,Mug,0,4,0,0,0,2,0,1,0,1
